,dataset,references,samples,f1 macro,f1 micro,matthews corrcoef,precision score,recall score,accuracy score
0,unseen_answers,1,579,0.661042314458695,0.6718017414601474,0.32212446026848446,0.6045939294503692,0.5967611336032389,0.6718017414601474
1,unseen_answers,2,56,0.7214452214452214,0.7322175732217574,0.45605062329752216,0.7529411764705882,0.5981308411214953,0.7322175732217573
2,unseen_answers,3,49,0.7525252525252524,0.7551020408163265,0.5153282627518159,0.6666666666666666,0.8,0.7551020408163265
3,unseen_answers,4,121,0.8618721461187214,0.8677685950413223,0.7319522532047376,0.7692307692307693,0.9090909090909091,0.8677685950413223
4,unseen_answers,5,94,0.8468137254901961,0.8529411764705882,0.696726853656372,0.7762237762237763,0.8604651162790697,0.8529411764705882
5,unseen_answers,6,47,0.7417071748007,0.7469135802469135,0.4933630951458993,0.6447368421052632,0.7777777777777778,0.7469135802469136
6,unseen_answers,7,12,0.7828358208955224,0.8144329896907216,0.5656716417910448,0.8656716417910447,0.8656716417910447,0.8144329896907216
7,unseen_answers,9,10,0.8901098901098901,0.9,0.8017837257372732,0.8571428571428571,1.0,0.9
8,unseen_answers,14,11,0.3888888888888889,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364
9,unseen_questions,1,831,0.661042314458695,0.6718017414601474,0.32212446026848446,0.6045939294503692,0.5967611336032389,0.6718017414601474
10,unseen_questions,2,183,0.7214452214452214,0.7322175732217574,0.45605062329752216,0.7529411764705882,0.5981308411214953,0.7322175732217573
11,unseen_questions,5,246,0.8468137254901961,0.8529411764705882,0.696726853656372,0.7762237762237763,0.8604651162790697,0.8529411764705882
12,unseen_questions,6,115,0.7417071748007,0.7469135802469135,0.4933630951458993,0.6447368421052632,0.7777777777777778,0.7469135802469136
13,unseen_questions,7,85,0.7828358208955224,0.8144329896907216,0.5656716417910448,0.8656716417910447,0.8656716417910447,0.8144329896907216
14,unseen_questions,10,92,0.2695817039933641,0.2717391304347826,-0.31022104415577006,0.45454545454545453,0.15384615384615385,0.2717391304347826
15,unseen_domains,1,4562,0.661042314458695,0.6718017414601474,0.32212446026848446,0.6045939294503692,0.5967611336032389,0.6718017414601474
